seed,method,revenue,loss_pct,switches,restarts,missing_steps,selector_multiplier,selector_epsilon,best_fixed
0,Expert,2789528.3743593385,7.792111277730227,0,0,0,,,DP
0,Decision Table,2224500.0,26.469129926022887,0,0,0,,,DP
0,DP,3025260.0,0.0,0,0,0,,,DP
0,DDPG,2562389.1052474976,15.30020212320602,0,0,0,,,DP
1,Expert,3038133.626987357,0.0,0,0,0,,,Expert
1,Decision Table,2106200.0,30.67454369712736,0,0,0,,,Expert
1,DP,3018110.0,0.6590765728501804,0,0,0,,,Expert
1,DDPG,2599402.9013462067,14.440797525953464,0,0,0,,,Expert
2,Expert,2531075.962536138,16.604993911584902,0,0,0,,,DP
2,Decision Table,2169210.0,28.527913095192986,0,0,0,,,DP
2,DP,3035045.0,0.0,0,0,0,,,DP
2,DDPG,2586652.9013404846,14.773820442844023,0,0,0,,,DP
3,Expert,2903342.083954317,4.133303265148752,0,0,0,,,DP
3,Decision Table,2156010.0,28.809781675537888,0,0,0,,,DP
3,DP,3028520.0,0.0,0,0,0,,,DP
3,DDPG,2613373.3758563995,13.7079043276452,0,0,0,,,DP
4,Expert,2720136.74753319,9.83759160692525,0,0,0,,,DP
4,Decision Table,2175670.0,27.88463769461008,0,0,0,,,DP
4,DP,3016930.0,0.0,0,0,0,,,DP
4,DDPG,2506205.889471054,16.928603266530743,0,0,0,,,DP
0,OracleFixed,3016325.0,0.2953465156713803,0,1,0,,,DP
0,FTL,3022459.495708975,0.09257069775903527,5,6,0,,,DP
0,FPL-1x,3034810.194087681,-0.31568176248259305,3767,3768,0,1.0,0.00018684037016598504,DP
0,FLL-1x,2457213.548204422,18.77678122857467,3,4,0,1.0,0.00018684037016598504,DP
0,FPL-2x,3033605.481579466,-0.2758599782982551,3766,3767,0,2.0,0.0003736807403319701,DP
0,FLL-2x,2648877.031569909,12.441342840948916,7,8,0,2.0,0.0003736807403319701,DP
