WBL_NUM,WBL_CNTR_UUID,CNTR_TYPE,IS_EMPTY,SOC,TRANS_TYPE,LEG_TYPE,IS_MAIN,POL_CDE,POL_NME,LDD_SVVD,POD_CDE,POD_NME,WBL_AUD_DT,MAIN_SVVD_SAILING_DATE,CGO_BRIEF_DESC_CDE,BKG_MTHD,CGO_BRIEF_DESC_CNNME,AMT
Q012098750,2589a34df74a46b6aa219226137a7be9,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 9:29,2019/7/21 8:47,CT0800300001,TF,玻璃,2359.35
Q012099480,ff3cc39a34fd4723a2c61481af0e2435,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-QUB-089 N,YIK,营口,2019/7/18 9:35,2019/7/19 13:41,CT9900100010,TF,家具,1613.85
Q012099980,3ba498ae74434c48856a0ac137c6702e,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 9:38,2019/7/21 8:47,CT1100500001,TF,玉米,2359.35
Q012099980,a121e829cd5e42c489b3bdb393718dc4,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 9:38,2019/7/21 8:47,CT1100500001,TF,玉米,2359.35
Q012100030,b51fb7af538f4b5f99c733987149d19b,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-QUB-089 N,YIK,营口,2019/7/18 9:39,2019/7/19 13:41,CT9900100010,TF,家具,1613.85
Q012100350,126b5fa2a33741a58e9a895ea6dde99d,40HQ,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 9:41,2019/7/23 11:17,CT2200200251,TF,雀巢奶粉,3766.35
Q012100350,b79545a0bff645cda8aaec3f3267bc3f,40HQ,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 9:41,2019/7/23 11:17,CT2200200251,TF,雀巢奶粉,3766.35
Q012100350,d1adf48369964f08a05b6f5f365ab425,40HQ,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 9:41,2019/7/23 11:17,CT2200200251,TF,雀巢奶粉,3766.35
Q012100440,8d504bcbb0d741e08870fe57480b05e0,20GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-Q2P-097 S,NSH,南沙,2019/7/18 9:40,2019/7/21 16:08,CT1600400101,TF,螺栓,1860.6
Q012101450,69c59328411a4213b6f0d65051a2cca8,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R27-056 S,NSH,南沙,2019/7/18 9:59,2019/7/23 11:46,CT1500400098,TF,苯酐,2721.6
Q012102190,5d3bfaee5bc141fd9b95141bdaf8cce4,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RZD-211 S,NSH,南沙,2019/7/18 9:59,2019/7/21 8:29,CT1100300001,TF,大米,2039.1
Q012102711,ba8a7284d1e64bd38ae7fda5dbbf1fc9,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-R3N-076 N,TSN,新港,2019/7/18 9:59,2019/7/20 6:10,CT1800300060,TF,杂项电气机械,742.35
Q012102713,e8147f49350b46ed8ae10a74e99cc617,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-R3N-076 N,TSN,新港,2019/7/18 9:59,2019/7/20 6:10,CT1600400122,TF,五金配件,742.35
Q012102714,30a12e8be7b84939b299782ba6face57,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-R3N-076 N,TSN,新港,2019/7/18 9:59,2019/7/20 6:10,CT9900100088,TF,厨具,742.35
Q012104430,3a805a105ee543278404bdd85aa1f871,40HQ,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 10:11,2019/7/23 11:17,CT2100600035,TF,非油料用花生仁,3766.35
Q012105110,da2f4306c69742c9993a1b2753cea5c3,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,38db11540178435d958d9809b0089456,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,987a912d1c0d46f7b2afda7bed7c8acb,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,a6da6e11bf944ea298a32355804cde75,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,d3e6f6bdc2e342258b8eeb27bce67035,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,7faf30542ad442a9aaa1d8b60a1e2c92,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,1d13cd749ac64c87afcd92cf6f205a21,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105110,a518a7d575ef41329de380b3bc644136,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 10:37,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012105260,1f7596c5bdd54a13b30f30c911fe5cdb,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 10:17,2019/7/21 8:47,CT1100300001,TF,大米,2359.35
Q012105260,6b018bd6dcf54b18a509ff8de67b1d1b,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 10:17,2019/7/21 8:47,CT1100300001,TF,大米,2359.35
Q012105760,0217860f1841408da42babefb5da33e3,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-R3N-076 N,TSN,新港,2019/7/18 10:38,2019/7/20 6:10,CT0500700052,TF,铝材,742.35
Q012105790,5d6c10b5831e493597d84cea4d6a204b,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 10:22,2019/7/21 8:47,CT0800500075,TF,镁碳砖,2459.1
Q012106960,8212b263e471499eb58ff4ed781c28c0,40GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-Q2P-097 S,NSH,南沙,2019/7/18 10:32,2019/7/21 16:08,CT1800100006,TF,直流电机,2700.6
Q012107040,f1b1e4ca6e224201b5940682b5f552ec,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 10:46,2019/7/23 11:17,CT1100300001,TF,大米,2039.1
Q012107660,cfbfdb88e94b4744b4357ad96e19337d,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-R3N-076 N,TSN,新港,2019/7/18 10:43,2019/7/20 6:10,CT0800300001,TF,玻璃,742.35
Q012107790,4630661a9f264008a2b1a516eb819c62,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-QUB-089 N,YIK,营口,2019/7/18 10:45,2019/7/19 13:41,CT1800200049,TF,日用电器,1613.85
Q012108200,c2fa1b4e4ce744809ae8e83de87a1dc4,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108200,29952dad515b4ce2b7997df9b24d3606,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108200,aa59393e480c40679218c81132fedf4f,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108200,5e510e6d2ca24c499b72365ab2cf5c2b,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108200,2743308820424b1c9c0fff06cbc3a3ff,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108200,eb2e57a0acbc4c9c985a4283166f52ab,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108200,e4fc9a32b73449b9b3f940f4e4828d8c,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R3N-076 S,NSH,南沙,2019/7/18 11:14,2019/7/27 0:06,CT1500400419,TF,硅胶,2721.6
Q012108790,fdda05d67f044f9ca659971984c42488,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,ef1f65ef53be4acc999ce0aa84b553ed,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,2c9394358a214b679f2ed8d44be6f4e9,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,d695f1abad9f434796e8842acf2e287d,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,bf0f328f0bec4c6db122a3577aa3b5e7,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,26c4783e153a48748b5f9f9625d76516,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,c184ea21fa434fbb8b87684f7ac9a85e,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012108790,ead358a2fd3540ebabf7e3e27620dac2,40HQ,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-QNV-146 S,NSH,南沙,2019/7/18 11:13,2019/7/25 11:43,CT1500400419,TF,硅胶,2721.6
Q012112880,5d97c0628d6e4366b2bff6f7a543c265,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-QB3-050 N,TSN,新港,2019/7/18 11:38,2019/7/24 16:33,CT1500400045,TF,洗衣粉（洗衣液）,742.35
Q012113240,5bb39d01173942128aab87cbe7b1dbce,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT0800300001,TF,玻璃,1842.75
Q012113240,d73c343760d74aeb9db4fc9187771810,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT0800300001,TF,玻璃,1842.75
Q012113240,deebfb6dd6e6467d97997c9951e9ab26,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT0800300001,TF,玻璃,1842.75
Q012113240,0d4e0e2e44784615afdd852445ef52e1,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT0800300001,TF,玻璃,1842.75
Q012113480,3614762dcae54fe183a3cc0360f82891,20GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-Q2P-097 S,NSH,南沙,2019/7/18 11:30,2019/7/21 16:08,CT2200200150,TF,腐乳,1860.6
Q012113570,1ddf561dd8334920a9b95c47d6460577,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-QUB-089 N,YIK,营口,2019/7/18 11:34,2019/7/19 13:41,CT9900600010,TF,集拼货,1613.85
Q012113880,9c814c270476435da2bd02c7e030f784,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-RAC-159 N,YIK,营口,2019/7/18 11:46,2019/7/21 13:07,CT9900600010,TF,集拼货,1613.85
Q012113881,e66fd6d5519f495fafeca6fc45c7cc84,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-RAC-159 N,YIK,营口,2019/7/18 11:46,2019/7/21 13:07,CT9900600010,TF,集拼货,1613.85
Q012113950,28c6063fb1104e68932c7ddd57241e4c,20GP,0,0,TRUNK,OCEAN,1,NSH,南沙,IC10-R3N-076 N,TSN,新港,2019/7/18 11:39,2019/7/20 6:10,CT2200300039,TF,啤酒,485.1
Q012114060,7ed340d24348455aba5e0ba0e045a942,20GP,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-RAC-159 N,YIK,营口,2019/7/18 11:39,2019/7/21 13:07,CT2200300039,TF,啤酒,455.7
Q012114130,b597233b87674fe59e56ee2aeeaa6621,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT1100300001,TF,大米,1842.75
Q012114260,899692fa6603402fbf6c5c9fcd814b3a,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT1100800033,TF,青米,1842.75
Q012114260,7409e34f85b245dbb0bf2883e96944a8,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT1100800033,TF,青米,1842.75
Q012114490,fede3037007e487d9e861658458b6131,20GP,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-RAC-159 N,YIK,营口,2019/7/18 12:18,2019/7/21 13:07,CT2200300039,TF,啤酒,455.7
Q012115140,4a0124fb0da9402f8784b77f296ec4f2,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:33,2019/7/23 11:17,CT0600500051,TF,滑石粉,1842.75
