winner,seed,strategy,category_1,category_2,category_3,category_4,category_5,total
Expert,0,Expert,372585.8843221595,649131.3297539096,717294.6807282635,450696.5851499743,949074.0780959621,3138782.5580502693
Expert,0,Decision Table,273530.0,370210.0,448680.0,521720.0,684340.0,2298480.0
Expert,0,DP,406500.0,500625.0,609840.0,700945.0,800960.0,3018870.0
Expert,0,DDPG,349771.5292739868,452578.6470413208,520653.4273223877,558980.1409835815,668155.360616684,2550139.105237961
Expert,0,BIRD,373329.01017141686,228258.8362769268,656907.9605501097,482911.006424827,761121.6902752421,2502528.503698523
